,Unnamed: 0,model,trial,Target ID,Selection Metric,strategy
3,3,MR,0,CHEMBL260,SERA,median
4,4,MR,0,CHEMBL260,MAE,median
5,5,MR,0,CHEMBL260,MSE,median
9,9,MR,1,CHEMBL260,SERA,median
10,10,MR,1,CHEMBL260,MAE,median
11,11,MR,1,CHEMBL260,MSE,median
15,15,MR,2,CHEMBL260,SERA,median
16,16,MR,2,CHEMBL260,MAE,median
17,17,MR,2,CHEMBL260,MSE,median
21,21,MR,3,CHEMBL260,SERA,median
22,22,MR,3,CHEMBL260,MAE,median
23,23,MR,3,CHEMBL260,MSE,median
27,27,MR,4,CHEMBL260,SERA,median
28,28,MR,4,CHEMBL260,MAE,median
29,29,MR,4,CHEMBL260,MSE,median
