,Unnamed: 0,model,trial,Target ID,Selection Metric,n_neighbors
0,0,kNN,0,CHEMBL230,MAE,3
1,1,kNN,0,CHEMBL230,MSE,5
5,5,kNN,0,CHEMBL230,SERA,1
6,6,kNN,1,CHEMBL230,MAE,3
7,7,kNN,1,CHEMBL230,MSE,3
11,11,kNN,1,CHEMBL230,SERA,3
12,12,kNN,2,CHEMBL230,MAE,3
13,13,kNN,2,CHEMBL230,MSE,3
17,17,kNN,2,CHEMBL230,SERA,3
18,18,kNN,3,CHEMBL230,MAE,3
19,19,kNN,3,CHEMBL230,MSE,3
23,23,kNN,3,CHEMBL230,SERA,1
24,24,kNN,4,CHEMBL230,MAE,3
25,25,kNN,4,CHEMBL230,MSE,3
29,29,kNN,4,CHEMBL230,SERA,5
