,Unnamed: 0,model,trial,Target ID,Selection Metric,n_neighbors
0,0,kNN,0,CHEMBL220,MAE,3
1,1,kNN,0,CHEMBL220,MSE,5
5,5,kNN,0,CHEMBL220,SERA,3
6,6,kNN,1,CHEMBL220,MAE,5
7,7,kNN,1,CHEMBL220,MSE,5
11,11,kNN,1,CHEMBL220,SERA,3
12,12,kNN,2,CHEMBL220,MAE,5
13,13,kNN,2,CHEMBL220,MSE,5
17,17,kNN,2,CHEMBL220,SERA,3
18,18,kNN,3,CHEMBL220,MAE,3
19,19,kNN,3,CHEMBL220,MSE,5
23,23,kNN,3,CHEMBL220,SERA,3
24,24,kNN,4,CHEMBL220,MAE,3
25,25,kNN,4,CHEMBL220,MSE,5
29,29,kNN,4,CHEMBL220,SERA,3
